P,Teff
6.5553330e-05,9.9998613e-01
6.7080260e-05,9.9998594e-01
6.8642760e-05,9.9998574e-01
7.0241660e-05,9.9998554e-01
7.1877800e-05,9.9998534e-01
7.3552040e-05,9.9998513e-01
7.5265290e-05,9.9998492e-01
7.7018450e-05,9.9998471e-01
7.8812440e-05,9.9998450e-01
8.0648210e-05,9.9998428e-01
8.2526750e-05,9.9998406e-01
8.4449050e-05,9.9998383e-01
8.6416120e-05,9.9998361e-01
8.8429010e-05,9.9998338e-01
9.0488780e-05,9.9998314e-01
9.2596540e-05,9.9998291e-01
9.4753390e-05,9.9998267e-01
9.6960480e-05,9.9998242e-01
9.9218980e-05,9.9998218e-01
1.0153010e-04,9.9998193e-01
1.0389500e-04,9.9998167e-01
1.0631510e-04,9.9998142e-01
1.0879140e-04,9.9998115e-01
1.1132550e-04,9.9998089e-01
1.1391860e-04,9.9998062e-01
1.1657210e-04,9.9998035e-01
1.1928740e-04,9.9998007e-01
1.2206600e-04,9.9997979e-01
1.2490930e-04,9.9997951e-01
1.2781880e-04,9.9997922e-01
1.3079610e-04,9.9997893e-01
1.3384270e-04,9.9997863e-01
1.3696030e-04,9.9997834e-01
1.4015050e-04,9.9997803e-01
1.4341510e-04,9.9997772e-01
1.4675560e-04,9.9997741e-01
1.5017400e-04,9.9997709e-01
1.5367200e-04,9.9997677e-01
1.5725150e-04,9.9997644e-01
1.6091430e-04,9.9997611e-01
1.6466250e-04,9.9997578e-01
1.6849800e-04,9.9997544e-01
1.7242280e-04,9.9997509e-01
1.7643910e-04,9.9997474e-01
1.8054890e-04,9.9997439e-01
1.8475440e-04,9.9997403e-01
1.8905790e-04,9.9997367e-01
1.9346160e-04,9.9997330e-01
1.9796790e-04,9.9997292e-01
2.0257920e-04,9.9997254e-01
2.0729780e-04,9.9997215e-01
2.1212640e-04,9.9997176e-01
2.1706750e-04,9.9997137e-01
2.2212360e-04,9.9997096e-01
2.2729750e-04,9.9997056e-01
2.3259200e-04,9.9997014e-01
2.3800980e-04,9.9996972e-01
2.4355370e-04,9.9996930e-01
2.4922680e-04,9.9996887e-01
2.5503200e-04,9.9996843e-01
2.6097250e-04,9.9996799e-01
2.6705130e-04,9.9996754e-01
2.7327180e-04,9.9996708e-01
2.7963710e-04,9.9996662e-01
2.8615070e-04,9.9996615e-01
2.9281600e-04,9.9996567e-01
2.9963650e-04,9.9996519e-01
3.0661600e-04,9.9996470e-01
3.1375800e-04,9.9996421e-01
3.2106630e-04,9.9996371e-01
3.2854490e-04,9.9996319e-01
3.3619770e-04,9.9996268e-01
3.4402880e-04,9.9996215e-01
3.5204220e-04,9.9996162e-01
3.6024230e-04,9.9996108e-01
3.6863350e-04,9.9996054e-01
3.7722000e-04,9.9995998e-01
3.8600660e-04,9.9995942e-01
3.9499790e-04,9.9995885e-01
4.0419850e-04,9.9995827e-01
4.1361350e-04,9.9995769e-01
4.2324780e-04,9.9995709e-01
4.3310650e-04,9.9995649e-01
4.4319490e-04,9.9995588e-01
4.5351820e-04,9.9995526e-01
4.6408200e-04,9.9995463e-01
4.7489190e-04,9.9995399e-01
4.8595350e-04,9.9995335e-01
4.9727290e-04,9.9995269e-01
5.0885580e-04,9.9995203e-01
5.2070860e-04,9.9995135e-01
5.3283750e-04,9.9995067e-01
5.4524880e-04,9.9994998e-01
5.5794930e-04,9.9994927e-01
5.7094560e-04,9.9994856e-01
5.8424470e-04,9.9994784e-01
5.9785350e-04,9.9994711e-01
6.1177930e-04,9.9994636e-01
6.2602940e-04,9.9994561e-01
